Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Reflection,1,999,15,1
Black Hawk,Friday,2,Archery,1,4,15,1
Black Hawk,Friday,3,Troop Swim,1,999,15,1
Black Hawk,Monday,1,Troop Canoe,1,5,15,1
Black Hawk,Monday,2,Dr. DNA,1,999,15,1
Black Hawk,Monday,3,Super Troop,1,999,15,1
Black Hawk,Thursday,1,Campsite Free Time,1,999,15,1
Black Hawk,Thursday,2,Climbing Tower,1,3,15,1
Black Hawk,Tuesday,1,Aqua Trampoline,1,1,15,1
Black Hawk,Tuesday,2,Shower House,1,0,15,1
Black Hawk,Tuesday,3,Gaga Ball,1,8,15,1
Black Hawk,Wednesday,1,Fishing,1,999,15,1
Black Hawk,Wednesday,2,9 Square,1,6,15,1
Black Hawk,Wednesday,3,Itasca State Park,3,2,15,1
Cochise,Friday,1,Dr. DNA,1,999,8,3
Cochise,Friday,2,Monkey's Fist,1,9,8,3
Cochise,Friday,3,Reflection,1,999,8,3
Cochise,Monday,1,Greased Watermelon,1,6,8,3
Cochise,Monday,2,Super Troop,1,999,8,3
Cochise,Monday,3,Fishing,1,999,8,3
Cochise,Thursday,1,Troop Canoe,1,4,8,3
Cochise,Thursday,2,Aqua Trampoline,1,0,8,3
Cochise,Tuesday,1,Troop Shotgun,1,2,8,3
Cochise,Tuesday,2,Gaga Ball,1,8,8,3
Cochise,Tuesday,3,Climbing Tower,1,5,8,3
Cochise,Wednesday,1,Troop Rifle,1,999,8,3
Cochise,Wednesday,2,Archery,1,3,8,3
Cochise,Wednesday,3,Troop Swim,1,1,8,3
Joseph,Friday,1,9 Square,1,5,22,1
Joseph,Friday,2,Knots and Lashings,1,8,22,1
Joseph,Friday,3,Reflection,1,999,22,1
Joseph,Monday,1,Sailing,1.5,3,22,1
Joseph,Monday,3,Campsite Free Time,1,6,22,1
Joseph,Thursday,1,Campsite Free Time,1,6,22,1
Joseph,Thursday,2,Archery,1,7,22,1
Joseph,Tuesday,1,Delta,1,9,22,1
Joseph,Tuesday,2,Super Troop,1,999,22,1
Joseph,Tuesday,3,Greased Watermelon,1,1,22,1
Joseph,Wednesday,1,Sauna,1,4,22,1
Joseph,Wednesday,2,Gaga Ball,1,2,22,1
Joseph,Wednesday,3,Aqua Trampoline,1,0,22,1
Massasoit,Friday,1,Reflection,1,999,21,3
