Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Troop Canoe,1,999,6,1
Black Hawk,Friday,2,Reflection,1,999,6,1
Black Hawk,Friday,3,Fishing,1,9,6,1
Black Hawk,Monday,1,Gaga Ball,1,999,6,1
Black Hawk,Monday,2,Climbing Tower,1,1,6,1
Black Hawk,Monday,3,Dr. DNA,1,8,6,1
Black Hawk,Thursday,1,Delta,1,2,6,1
Black Hawk,Thursday,2,Aqua Trampoline,1,4,6,1
Black Hawk,Tuesday,1,Knots and Lashings,1,7,6,1
Black Hawk,Tuesday,2,Shower House,1,0,6,1
Black Hawk,Tuesday,3,Trading Post,1,999,6,1
Black Hawk,Wednesday,1,Archery,1,3,6,1
Black Hawk,Wednesday,2,Super Troop,1,999,6,1
Black Hawk,Wednesday,3,Troop Rifle,1,999,6,1
Massasoit,Friday,1,Reflection,1,999,23,4
Massasoit,Friday,2,Trading Post,1,6,23,4
Massasoit,Friday,3,Archery,1,8,23,4
Massasoit,Monday,1,Tie Dye,1,3,23,4
Massasoit,Monday,2,Gaga Ball,1,1,23,4
Massasoit,Monday,3,Aqua Trampoline,1,0,23,4
Massasoit,Thursday,1,Chopped!,1,4,23,4
Massasoit,Thursday,2,9 Square,1,10,23,4
Massasoit,Tuesday,1,Greased Watermelon,1,9,23,4
Massasoit,Tuesday,2,Fishing,1,2,23,4
Massasoit,Tuesday,3,Super Troop,1,999,23,4
Massasoit,Wednesday,1,Troop Swim,1,999,23,4
Massasoit,Wednesday,2,Dr. DNA,1,999,23,4
Massasoit,Wednesday,3,Shower House,1,999,23,4
Red Cloud,Friday,1,9 Square,1,14,8,1
Red Cloud,Friday,2,Reflection,1,999,8,1
Red Cloud,Friday,3,Greased Watermelon,1,9,8,1
Red Cloud,Monday,1,Troop Shotgun,1,1,8,1
Red Cloud,Monday,2,Orienteering,1,12,8,1
Red Cloud,Monday,3,Gaga Ball,1,7,8,1
Red Cloud,Thursday,1,Super Troop,1,999,8,1
Red Cloud,Thursday,2,Ultimate Survivor,1,2,8,1
Red Cloud,Tuesday,1,Climbing Tower,1,5,8,1
Red Cloud,Tuesday,2,What's Cooking,1,3,8,1
Red Cloud,Tuesday,3,Campsite Free Time,1,0,8,1
Red Cloud,Wednesday,1,Canoe Snorkel,2,4,8,1
Red Cloud,Wednesday,3,Monkey's Fist,1,11,8,1
Samoset,Friday,1,Reflection,1,999,12,2
Samoset,Friday,2,Troop Shotgun,1,11,12,2
Samoset,Friday,3,GPS & Geocaching,1,9,12,2
Samoset,Monday,1,Climbing Tower,1,1,12,2
Samoset,Monday,2,Troop Rifle,1,4,12,2
Samoset,Monday,3,Tie Dye,1,5,12,2
Samoset,Thursday,1,Greased Watermelon,1,0,12,2
Samoset,Thursday,2,Super Troop,1,20,12,2
Samoset,Tuesday,1,Gaga Ball,1,999,12,2
Samoset,Tuesday,2,History Center,1,10,12,2
Samoset,Tuesday,3,Aqua Trampoline,1,7,12,2
Samoset,Wednesday,1,Ultimate Survivor,1,3,12,2
Samoset,Wednesday,2,Archery,1,2,12,2
Samoset,Wednesday,3,Water Polo,1,12,12,2
Sequoyah,Friday,1,Archery,1,1,13,2
Sequoyah,Friday,2,What's Cooking,1,10,13,2
Sequoyah,Friday,3,Reflection,1,999,13,2
Sequoyah,Monday,1,GPS & Geocaching,1,4,13,2
Sequoyah,Monday,2,Super Troop,1,999,13,2
Sequoyah,Monday,3,Climbing Tower,1,2,13,2
Sequoyah,Thursday,1,Aqua Trampoline,1,0,13,2
Sequoyah,Thursday,2,Gaga Ball,1,999,13,2
Sequoyah,Tuesday,1,History Center,1,6,13,2
Sequoyah,Tuesday,2,Delta,1,3,13,2
Sequoyah,Tuesday,3,Water Polo,1,999,13,2
Sequoyah,Wednesday,1,Trading Post,1,7,13,2
Sequoyah,Wednesday,2,Troop Shotgun,1,8,13,2
Sequoyah,Wednesday,3,Troop Canoe,1,5,13,2
Tamanend,Friday,1,Climbing Tower,1,8,8,1
Tamanend,Friday,2,Super Troop,1,999,8,1
Tamanend,Friday,3,Reflection,1,999,8,1
Tamanend,Monday,1,Greased Watermelon,1,5,8,1
Tamanend,Monday,2,Tie Dye,1,11,8,1
Tamanend,Monday,3,Troop Shotgun,1,7,8,1
Tamanend,Thursday,1,Campsite Free Time,1,4,8,1
Tamanend,Thursday,2,Fishing,1,1,8,1
Tamanend,Tuesday,1,Aqua Trampoline,1,0,8,1
Tamanend,Tuesday,2,Disc Golf,1,9,8,1
Tamanend,Tuesday,3,9 Square,1,6,8,1
Tamanend,Wednesday,1,Troop Canoe,1,10,8,1
Tamanend,Wednesday,2,Gaga Ball,1,2,8,1
Tamanend,Wednesday,3,Archery,1,3,8,1
