Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Gaga Ball,1,5,17,1
Black Hawk,Friday,2,Archery,1,1,17,1
Black Hawk,Friday,3,Reflection,1,999,17,1
Black Hawk,Monday,1,Trading Post,1,13,17,1
Black Hawk,Monday,2,9 Square,1,999,17,1
Black Hawk,Monday,3,Troop Canoe,1,2,17,1
Black Hawk,Thursday,1,Hemp Craft,1,6,17,1
Black Hawk,Thursday,2,Aqua Trampoline,1,0,17,1
Black Hawk,Tuesday,1,Climbing Tower,1,3,17,1
Black Hawk,Tuesday,2,Super Troop,1,999,17,1
Black Hawk,Tuesday,3,Dr. DNA,1,999,17,1
Black Hawk,Wednesday,1,Fishing,1,999,17,1
Black Hawk,Wednesday,2,Delta,1,4,17,1
Black Hawk,Wednesday,3,Tie Dye,1,11,17,1
Pontiac,Friday,1,Super Troop,1,999,8,1
Pontiac,Friday,2,Ultimate Survivor,1,7,8,1
Pontiac,Friday,3,Reflection,1,999,8,1
Pontiac,Monday,1,Sailing,1.5,0,8,1
Pontiac,Monday,3,Delta,1,8,8,1
Pontiac,Thursday,1,Troop Canoe,1,4,8,1
Pontiac,Thursday,2,Water Polo,1,2,8,1
Pontiac,Tuesday,1,Archery,1,14,8,1
Pontiac,Tuesday,2,Dr. DNA,1,999,8,1
Pontiac,Tuesday,3,Climbing Tower,1,6,8,1
Pontiac,Wednesday,1,Greased Watermelon,1,1,8,1
Pontiac,Wednesday,2,9 Square,1,9,8,1
Pontiac,Wednesday,3,Troop Swim,1,10,8,1
Powhatan,Friday,1,Reflection,1,999,11,3
Powhatan,Friday,2,Super Troop,1,999,11,3
Powhatan,Friday,3,Aqua Trampoline,1,2,11,3
Powhatan,Monday,1,9 Square,1,9,11,3
Powhatan,Monday,2,Troop Shotgun,1,4,11,3
Powhatan,Monday,3,Climbing Tower,1,6,11,3
Powhatan,Thursday,1,Greased Watermelon,1,0,11,3
Powhatan,Thursday,2,Delta,1,8,11,3
Powhatan,Tuesday,1,Orienteering,1,10,11,3
Powhatan,Tuesday,2,Archery,1,5,11,3
Powhatan,Tuesday,3,Gaga Ball,1,7,11,3
Powhatan,Wednesday,1,Sailing,1.5,3,11,3
Powhatan,Wednesday,3,Water Polo,1,1,11,3
Red Cloud,Friday,1,Ultimate Survivor,1,4,13,2
Red Cloud,Friday,2,Reflection,1,999,13,2
Red Cloud,Friday,3,Gaga Ball,1,11,13,2
Red Cloud,Monday,1,Climbing Tower,1,0,13,2
Red Cloud,Monday,2,Knots and Lashings,1,13,13,2
Red Cloud,Monday,3,Troop Shotgun,1,5,13,2
Red Cloud,Thursday,1,Sailing,1.5,3,13,2
Red Cloud,Tuesday,1,Delta,1,9,13,2
