Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Climbing Tower,1,9,21,1
Black Hawk,Friday,2,Reflection,1,999,21,1
Black Hawk,Friday,3,Water Polo,1,10,21,1
Black Hawk,Monday,1,Troop Canoe,1,11,21,1
Black Hawk,Monday,2,Troop Shotgun,1,4,21,1
Black Hawk,Monday,3,Archery,1,5,21,1
Black Hawk,Thursday,1,9 Square,1,999,21,1
Black Hawk,Thursday,2,Sauna,1,8,21,1
Black Hawk,Tuesday,1,Disc Golf,1,13,21,1
Black Hawk,Tuesday,2,Gaga Ball,1,2,21,1
Black Hawk,Tuesday,3,Greased Watermelon,1,1,21,1
Black Hawk,Wednesday,1,Aqua Trampoline,1,0,21,1
Black Hawk,Wednesday,2,Campsite Free Time,1,3,21,1
Black Hawk,Wednesday,3,Super Troop,1,999,21,1
Samoset,Friday,1,Reflection,1,999,21,2
Samoset,Friday,2,Archery,1,999,21,2
Samoset,Friday,3,Fishing,1,11,21,2
Samoset,Monday,1,Troop Rifle,1,1,21,2
Samoset,Monday,2,Ultimate Survivor,1,0,21,2
Samoset,Monday,3,GPS & Geocaching,1,8,21,2
Samoset,Thursday,1,Delta,1,3,21,2
Samoset,Thursday,2,Aqua Trampoline,1,10,21,2
Samoset,Tuesday,1,Knots and Lashings,1,4,21,2
Samoset,Tuesday,2,Climbing Tower,1,9,21,2
Samoset,Tuesday,3,Dr. DNA,1,999,21,2
Samoset,Wednesday,1,Chopped!,1,12,21,2
Samoset,Wednesday,2,Super Troop,1,999,21,2
Samoset,Wednesday,3,Greased Watermelon,1,2,21,2
Taskalusa,Friday,1,Water Polo,1,9,5,3
Taskalusa,Friday,2,Reflection,1,999,5,3
Taskalusa,Friday,3,Delta,1,1,5,3
Taskalusa,Monday,1,Aqua Trampoline,1,2,5,3
Taskalusa,Monday,2,Archery,1,3,5,3
Taskalusa,Monday,3,Troop Shotgun,1,10,5,3
Taskalusa,Thursday,1,Troop Rifle,1,8,5,3
Taskalusa,Thursday,2,9 Square,1,6,5,3
Taskalusa,Tuesday,1,Super Troop,1,999,5,3
Taskalusa,Tuesday,1,Aqua Trampoline,1,2,5,3
Taskalusa,Tuesday,2,Greased Watermelon,1,4,5,3
Taskalusa,Tuesday,3,Climbing Tower,1,0,5,3
Taskalusa,Wednesday,1,Monkey's Fist,1,11,5,3
Taskalusa,Wednesday,2,Ultimate Survivor,1,13,5,3
Taskalusa,Wednesday,3,Gaga Ball,1,5,5,3
Tecumseh,Friday,1,Reflection,1,999,10,4
Tecumseh,Friday,2,Delta,1,1,10,4
Tecumseh,Friday,3,Nature Canoe,1,13,10,4
Tecumseh,Monday,1,What's Cooking,1,2,10,4
Tecumseh,Monday,2,Tie Dye,1,3,10,4
Tecumseh,Monday,3,Hemp Craft,1,0,10,4
Tecumseh,Thursday,1,Dr. DNA,1,5,10,4
Tecumseh,Thursday,2,Greased Watermelon,1,4,10,4
Tecumseh,Tuesday,1,Climbing Tower,1,7,10,4
Tecumseh,Tuesday,2,History Center,1,11,10,4
Tecumseh,Tuesday,3,Super Troop,1,999,10,4
Tecumseh,Wednesday,1,9 Square,1,6,10,4
Tecumseh,Wednesday,2,Monkey's Fist,1,10,10,4
Tecumseh,Wednesday,3,Aqua Trampoline,1,9,10,4
