Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Archery,1,1,22,2
Black Hawk,Friday,2,Gaga Ball,1,2,22,2
Black Hawk,Friday,3,Reflection,1,999,22,2
Black Hawk,Monday,1,Tie Dye,1,8,22,2
Black Hawk,Monday,2,Fishing,1,999,22,2
Black Hawk,Monday,3,Climbing Tower,1,3,22,2
Black Hawk,Monday,3,Troop Rifle,1,6,22,2
Black Hawk,Thursday,1,Aqua Trampoline,1,0,22,2
Black Hawk,Thursday,2,Campsite Free Time,1,5,22,2
Black Hawk,Tuesday,1,9 Square,1,10,22,2
Black Hawk,Tuesday,2,Super Troop,1,999,22,2
Black Hawk,Tuesday,3,Greased Watermelon,1,7,22,2
Black Hawk,Wednesday,1,Float for Floats,2,4,22,2
Black Hawk,Wednesday,3,Campsite Free Time,1,5,22,2
Massasoit,Friday,1,Reflection,1,999,12,1
Massasoit,Friday,2,9 Square,1,999,12,1
Massasoit,Friday,3,Water Polo,1,999,12,1
Massasoit,Monday,1,Troop Rifle,1,1,12,1
Massasoit,Monday,2,What's Cooking,1,3,12,1
Massasoit,Monday,3,Monkey's Fist,1,6,12,1
Massasoit,Thursday,1,Canoe Snorkel,2,4,12,1
Massasoit,Tuesday,1,Hemp Craft,1,7,12,1
Massasoit,Tuesday,2,Sauna,1,0,12,1
Massasoit,Tuesday,3,Delta,1,5,12,1
Massasoit,Wednesday,1,Archery,1,2,12,1
Massasoit,Wednesday,2,Super Troop,1,999,12,1
Massasoit,Wednesday,3,Aqua Trampoline,1,999,12,1
Taskalusa,Friday,1,Sauna,1,2,7,2
Taskalusa,Friday,2,Archery,1,6,7,2
Taskalusa,Friday,3,Reflection,1,999,7,2
Taskalusa,Monday,1,What's Cooking,1,4,7,2
Taskalusa,Monday,2,Monkey's Fist,1,3,7,2
Taskalusa,Monday,3,Aqua Trampoline,1,0,7,2
Taskalusa,Thursday,1,Campsite Free Time,1,7,7,2
Taskalusa,Thursday,2,Super Troop,1,999,7,2
Taskalusa,Tuesday,1,Disc Golf,1,9,7,2
Taskalusa,Tuesday,2,Gaga Ball,1,1,7,2
Taskalusa,Tuesday,3,Climbing Tower,1,8,7,2
Taskalusa,Wednesday,1,Itasca State Park,3,5,7,2
