Troop,Day,Slot,Activity,Duration,Priority,Scouts,Adults
Black Hawk,Friday,1,Reflection,1,999,16,2
Black Hawk,Friday,2,Fishing,1,11,16,2
Black Hawk,Friday,3,Greased Watermelon,1,4,16,2
Black Hawk,Monday,1,Aqua Trampoline,1,2,16,2
Black Hawk,Monday,2,Hemp Craft,1,999,16,2
Black Hawk,Monday,3,9 Square,1,999,16,2
Black Hawk,Thursday,1,Troop Swim,1,7,16,2
Black Hawk,Thursday,2,Trading Post,1,3,16,2
Black Hawk,Tuesday,1,Delta,1,0,16,2
Black Hawk,Tuesday,2,Archery,1,10,16,2
Black Hawk,Tuesday,3,Gaga Ball,1,6,16,2
Black Hawk,Wednesday,1,Dr. DNA,1,999,16,2
Black Hawk,Wednesday,2,Super Troop,1,999,16,2
Black Hawk,Wednesday,3,Shower House,1,1,16,2
Cochise,Friday,1,Trading Post,1,8,23,4
Cochise,Friday,2,Gaga Ball,1,5,23,4
Cochise,Friday,3,Reflection,1,999,23,4
Cochise,Monday,1,Archery,1,4,23,4
Cochise,Monday,2,Delta,1,9,23,4
Cochise,Monday,3,Super Troop,1,999,23,4
Cochise,Thursday,1,9 Square,1,1,23,4
Cochise,Thursday,2,Greased Watermelon,1,0,23,4
Cochise,Tuesday,1,Loon Lore,1,999,23,4
Cochise,Tuesday,2,Troop Swim,1,7,23,4
Cochise,Tuesday,3,Dr. DNA,1,999,23,4
Cochise,Wednesday,1,Sauna,1,6,23,4
Cochise,Wednesday,2,Campsite Free Time,1,3,23,4
Cochise,Wednesday,3,Aqua Trampoline,1,2,23,4
Joseph,Friday,1,Archery,1,6,23,4
Joseph,Friday,2,Sauna,1,1,23,4
Joseph,Friday,3,Reflection,1,999,23,4
Joseph,Monday,1,Greased Watermelon,1,8,23,4
Joseph,Monday,2,Troop Rifle,1,3,23,4
Joseph,Monday,3,Delta,1,4,23,4
Joseph,Thursday,1,Aqua Trampoline,1,0,23,4
Joseph,Thursday,2,Hemp Craft,1,15,23,4
Joseph,Tuesday,1,History Center,1,9,23,4
Joseph,Tuesday,2,Super Troop,1,999,23,4
Joseph,Tuesday,3,Disc Golf,1,5,23,4
Joseph,Wednesday,1,Fishing,1,2,23,4
Joseph,Wednesday,2,Monkey's Fist,1,10,23,4
Joseph,Wednesday,3,Gaga Ball,1,999,23,4
Massasoit,Friday,1,What's Cooking,1,9,22,3
Massasoit,Friday,2,Reflection,1,999,22,3
Massasoit,Friday,3,Sauna,1,999,22,3
Massasoit,Monday,1,Sailing,1.5,3,22,3
Massasoit,Monday,3,Water Polo,1,4,22,3
Massasoit,Thursday,1,Trading Post,1,11,22,3
Massasoit,Thursday,2,Aqua Trampoline,1,0,22,3
Massasoit,Tuesday,1,Super Troop,1,999,22,3
